ID,TARGET_LifeExpectancy
1,59.30969583133809
2,57.4284970051283
3,57.24062633754387
4,57.061980767170425
5,56.94875491520398
6,56.12732447815178
7,56.23456607757605
8,55.61103442792174
9,55.846995855054935
10,54.17043945158603
11,54.0028701218877
12,58.6043266057314
13,58.37555662929341
14,56.87397797929259
15,58.99460670516272
16,58.6322510336468
17,81.02091527738435
18,82.2200300503306
19,81.4561719204032
20,81.36020753855195
21,81.14380378155768
22,80.9579739229731
23,80.77416522922755
24,80.58621725710728
25,80.1193915641437
26,79.96814502107348
27,79.42842015117063
28,81.23589927774574
29,80.92548480283953
30,78.7709851583106
31,78.62974342019787
32,80.05074295099934
33,77.60449108958097
34,79.41111901710524
35,79.44421091544596
36,78.89029322003202
37,79.54798301382701
38,77.74891938025581
39,77.65704221120664
40,78.94232047773681
41,78.72092446459583
42,76.21917679333
43,77.6401413111374
44,77.20071963285358
45,75.73133014862965
46,76.84597993999903
47,75.24314495776545
48,74.00057453301302
49,76.44104934237721
50,77.71675820116569
51,75.88318104271049
52,75.92535734789514
53,75.89241645273992
54,75.70009511462808
55,76.74094095296624
56,76.1547449030568
57,75.31284142028223
58,75.01991942606375
59,74.6002172098188
60,74.38665163974764
61,73.68290633753196
62,75.51871520180802
63,73.42131777599545
64,75.11603929501301
65,71.45123719420246
66,71.58941570393941
67,71.03786695674275
68,71.04913848883494
69,70.43757631016953
70,73.2519253509457
71,72.51017527903174
72,68.96990111327023
73,68.39157643133973
74,68.02243562812752
75,67.82626914560501
76,67.14956208369532
77,70.2505890398931
78,66.78421222733408
79,66.32870235229272
80,65.82135403308992
81,74.98540841873341
82,75.17880921480752
83,75.14283626704874
84,74.89819490091217
85,74.36481290027996
86,75.09944774664444
87,74.78953797808191
88,74.1391122168416
89,74.17671633109076
90,73.27203025426927
91,71.12242165663679
92,71.77099618876034
93,71.27444833087011
94,69.99591587051607
95,70.6782737319487
96,65.18244115890813
97,56.29738783083062
98,63.412164596463846
99,56.82336771671803
100,55.50199385175304
101,54.04516903918592
102,54.581451853700166
103,54.06761026693762
104,52.273614788184176
105,52.17602897616414
106,51.666860189193294
107,50.93438436531022
108,50.06874959519486
109,48.89513587676296
110,48.649232963113235
111,50.49983910282343
112,49.87811383355333
113,67.89389267457547
114,67.83961367747537
115,66.32554592977358
116,66.86952231249484
117,67.46317018717177
118,66.18089599320906
119,66.64814519293915
120,66.06790416200062
121,65.74704237983315
122,63.03395737828321
123,63.04338788769578
124,62.28759681516115
125,59.95589594449492
126,58.31725670346303
127,57.44186953699898
128,57.54364030275208
129,59.423209900164814
130,57.57884072372772
131,57.9089956907303
132,57.31332591429411
133,57.778284101068934
134,63.3627065174624
135,57.35108961373057
136,56.47013636357537
137,55.374966770500464
138,55.04292414795214
139,55.867155386490936
140,53.45914682273688
141,53.11216941374829
142,57.490774621792454
143,55.40281114616103
144,51.48515666274726
145,81.67581520139944
146,78.21127491395214
147,81.20320925110964
148,81.35599941678944
149,78.15569463641442
150,81.24507096630799
151,80.79091790788901
152,80.10343498410909
153,82.01409537254537
154,80.15892026154647
155,80.0584537731976
156,81.49336833558732
157,80.8903867965839
158,78.6469797223566
159,78.59262261463323
160,77.87399329719965
161,55.727563779896165
162,55.38906230698914
163,55.1193328941784
164,55.61112295406822
165,55.501425703884856
166,54.35179101258175
167,54.66143116833888
168,53.41848287003966
169,55.10508297894161
170,54.51250799635064
171,55.55270149407846
172,55.02375084257188
173,54.677034748491195
174,49.75841852607847
175,48.85053800249932
176,50.24740776033413
177,74.32893091350853
178,74.23081175726867
179,73.52072708651701
180,73.22014309557409
181,73.3944783034328
182,72.79621794000207
183,72.4790988212872
184,72.31198512500272
185,71.31367642282574
186,70.74804950564268
187,70.0715722595371
188,68.11915897690386
189,67.51846183542492
190,66.87664887390953
191,66.48377375565849
192,66.04405280863818
193,73.83152035856871
194,75.72569224993957
195,73.57218789631447
196,73.73712657224594
197,73.00916744378985
198,73.62309982189228
199,73.87585721895722
200,72.90856187258888
201,72.65623881944049
202,72.29856811540844
203,71.68793296201822
204,71.41246936580963
205,72.10190350583203
206,70.63903800244414
207,70.95257807935633
208,70.17857036312603
209,66.56030747127389
210,75.43267165976815
211,77.66677433133756
212,75.857393092154
213,75.86043020753479
214,73.54541848520184
215,73.44661219212242
216,76.89436934390433
217,74.13921141490366
218,73.56103635398111
219,74.46907231881244
220,74.08503066597899
221,73.10457453981697
222,72.48107711542099
223,72.82318634878916
224,72.95403274979799
225,71.84765934289251
226,60.388327035343046
227,61.648890945375115
228,60.53968757841336
229,60.374077878166936
230,64.15379264065058
231,63.253306287789066
232,62.271068084766796
233,61.28460473919277
234,62.3250000412981
235,61.386946703927045
236,62.578916003395896
237,57.74641796067279
238,57.110204689176626
239,57.793641534254235
240,59.709553127415916
241,57.5423980325788
242,63.252468796936625
